random,cyclic,lipschitz,GS,GSL
6461297.64419,6127158.81683,6285118.81381,3837879.25826,3645016.64628
6458306.56753,6110642.5431,6278232.11049,3799316.5907,3595910.88235
6455089.81092,6098900.64331,6277758.99745,3777159.50244,3551790.64091
6427154.46845,6094356.14592,6269064.69448,3703826.95299,3505762.55771
6424995.54179,6071394.70157,6268866.4149,3649848.35337,3463229.9233
6174047.17394,6047038.24305,6199599.72276,3579522.83516,3421936.03959
6171612.03651,6046445.95794,6196223.30828,3500997.3143,3379296.83896
6170886.33914,6046231.70641,6149463.31224,3473800.16861,3338941.88464
6170885.54838,6033359.00386,6144570.51983,3461752.73693,3296761.93101
5969143.57366,6017698.13844,6135657.46364,3436280.66582,3253341.79685
5964153.80509,6017673.85253,6042652.02594,3391458.42944,3211054.91755
5964124.9377,6015787.18947,6036676.6119,3318948.41653,3170378.39044
5963739.38506,5999293.96824,6022883.76663,3274344.87225,3133253.20631
5960229.37783,5999025.3174,6021446.13187,3206509.22227,3099203.74055
5959819.97404,5993813.43737,6021404.05831,3186689.28534,3062091.18795
5947887.44223,5990658.37096,6020695.33355,3163985.29489,3024156.90042
5945743.32578,5931736.89724,6012277.65384,3142056.43352,2988935.38703
5944638.2375,5930323.47233,6002706.03333,3105496.74976,2953287.92359
5939992.28225,5925111.24393,5991342.3715,3067941.8891,2918949.22733
5939987.28157,5892494.69023,5989302.25032,3044702.31781,2881996.66971
5924316.09893,5892347.06451,5982195.67904,3024923.41439,2846197.41741
5917438.96351,5891906.73535,5970671.54883,2983791.27274,2814445.25995
5905185.1126,5886831.69429,5958193.29643,2964771.57844,2782457.23137
5891505.63036,5886764.63584,5947822.06065,2944414.72151,2748844.0151
5887469.88298,5884895.03406,5947564.63061,2935198.86037,2720079.2523
5884378.03222,5881554.34367,5872193.17598,2909917.84226,2691872.9731
5872898.26912,5880028.29056,5870540.21699,2875963.60296,2661404.74407
5872883.19854,5855114.39398,5870539.73114,2856460.95849,2633050.57863
