random,cyclic,lipschitz,GS,GSL
3429101.70791,2979342.27566,2620266.10493,450405.489043,294212.460003
3427935.00685,2972304.33124,2620044.7773,449186.956982,293043.767329
3427932.38854,2972301.83086,2615484.84456,447470.388165,291837.09358
3427651.56464,2967557.1603,2614550.45822,446761.507481,290578.293072
3425741.90439,2953273.46988,2613631.9427,445725.153615,289349.390855
3425455.30972,2952936.42618,2612400.84699,442771.361185,288183.443208
3422263.07533,2942682.23445,2612347.77109,442423.17923,286973.447256
3422086.79627,2941613.82086,2610804.20392,441718.415715,285851.400618
3416356.6808,2941594.24479,2610360.78924,438873.986053,284761.127118
3410659.4219,2939888.23394,2610223.46464,435709.458906,283713.517984
3409864.98872,2939327.41014,2610223.41183,435002.96809,282569.360742
3398252.62823,2939193.40086,2609897.85518,434160.208648,281478.216981
3398236.6614,2930282.24739,2606984.98245,433892.2321,280381.167279
3396919.65202,2926550.18831,2606929.89829,431540.705551,279258.167269
3394288.91256,2918396.79108,2603109.80909,430954.713857,278211.647597
3383157.24567,2918391.27417,2602334.56679,425742.376542,276938.958144
3345658.99761,2916475.77235,2601646.97592,420587.060685,275856.920351
3342812.87232,2915994.04652,2601645.42694,420330.716589,274717.394115
3342111.06358,2915975.63122,2601282.56772,418269.590695,273640.251686
3341425.34841,2915528.75364,2601104.59434,416805.007528,272605.117248
3340755.60713,2915522.03342,2599591.23087,415909.741147,271538.225339
3340718.6561,2914286.88586,2598861.55013,415451.918584,270595.302512
3340602.8431,2864530.94553,2598461.03413,413932.420106,269548.305332
3340162.85388,2862751.45602,2590930.56947,413503.484789,268572.028559
3339488.09377,2855452.32573,2590837.54181,412645.244088,267587.589793
3339357.80941,2855399.60452,2587739.58851,411965.231678,266619.857458
3338930.62993,2853476.0503,2587739.58851,411509.854211,265655.294711
3334902.43795,2851835.45665,2587515.69917,410625.876481,264764.138634
3328616.83087,2851832.32013,2586862.79526,410116.443334,263801.052303
3328575.26738,2851781.63553,2584329.3426,409386.910941,262854.642636
3323177.8523,2848810.49821,2555765.98767,407351.549102,261867.058521
3322010.37466,2848500.48459,2550969.68429,406744.395978,260943.150724
3321973.80403,2847115.99512,2544201.91088,406085.053055,259977.020919
3319985.83121,2824415.52604,2543375.90343,403588.739802,259096.202056
3319937.32597,2824368.42024,2436250.42298,403091.414575,258115.2069
3315596.32107,2813934.55314,2431095.47382,401352.262647,257213.0433
3314036.85408,2813320.00681,2399528.90657,401019.165649,256374.171442
3308751.16173,2813266.08891,2393887.86053,400298.831839,255475.468885
3308685.27453,2802735.77075,2393319.2854,399908.074768,254534.602252
3308644.64676,2802181.48063,2393274.37129,398495.59996,253600.338744
3307677.55077,2791775.15696,2392176.14008,397612.646019,252542.435416
3307439.61186,2791703.50305,2377736.68961,396362.130174,251709.637202
3306676.68715,2779665.2567,2364503.06361,395770.858153,250752.603898
3306306.7421,2776632.51505,2359581.97562,394169.242518,249893.871037
3302584.45313,2774843.39919,2359181.98301,393979.225778,249004.829648
3302580.59782,2774674.6563,2331973.98807,392944.234594,248181.404174
3302220.17696,2774102.69424,2331565.79469,392773.756144,247315.704569
3296770.90699,2770486.32001,2323666.97862,391968.396049,246387.195797
3296765.81133,2770438.73884,2323664.58305,390198.670199,245554.517105
3294998.52157,2767935.7704,2323582.588,389767.856098,244735.684049
3292312.26623,2766889.34383,2323581.12338,389192.589934,243956.263536
3292222.78416,2766669.07267,2313139.57793,388608.548191,243086.867533
3291393.78572,2766668.12894,2312651.93795,386909.654845,242273.354232
3290161.57174,2766211.02736,2312649.51978,385217.022297,241402.204278
3289097.61353,2764381.62479,2306756.17065,384677.969996,240570.883644
3288780.23446,2761152.93711,2306091.62603,384016.379986,239738.119523
3288777.11885,2758474.69035,2305733.20089,381448.487971,238967.335676
3288753.16203,2754355.16666,2282741.05292,380858.157744,238187.655048
3286177.48554,2749350.47549,2282499.52131,379881.604465,237438.159067
3284639.95234,2747893.4386,2281982.80762,378492.752762,236621.408953
3283917.4788,2747517.17249,2281926.2612,375702.9306,235871.729508
3271285.96134,2746812.45935,2279011.76639,374971.327471,235026.257497
3270172.681,2740487.46242,2278101.63828,373226.190968,234254.49899
3268478.34258,2739042.27948,2278101.4545,372558.385749,233470.815198
3264272.07486,2734991.09402,2277689.97298,372278.574308,232689.850114
3263654.51597,2727766.70342,2275225.45789,371678.348546,231914.62157
3255325.8226,2723257.33626,2274615.73872,370980.604271,231150.857034
3252341.88758,2719897.31376,2256243.4411,370742.761088,230327.320721
3252340.62479,2714020.7062,2256058.53439,370618.639298,229599.260407
3252303.0366,2714003.91429,2242245.49131,369463.369705,228901.103005
3252273.8981,2713995.88267,2221880.63374,369284.012071,228117.513763
3238023.5808,2713587.72863,2221837.20102,368695.100502,227391.088765
3237595.51962,2706605.18733,2219698.63519,367667.642027,226694.918573
3221022.22801,2706338.58003,2216685.37532,367210.247633,226005.392388
3218684.96993,2700096.94123,2216545.07203,366849.357426,225290.381414
3218654.325,2698362.45369,2215710.16485,366332.330209,224564.967925
3217531.21684,2692476.3239,2215259.7699,365010.691536,223832.484401
3209036.89772,2690347.88196,2215223.716,364596.103724,223070.346765
3194732.90742,2689899.46137,2214538.98466,364276.828931,222272.605131
3193184.55304,2679194.04013,2214366.31794,362636.430405,221575.162046
3193152.3167,2677792.12497,2213908.01598,362190.104804,220825.167636
3193148.99905,2638896.86135,2212296.11844,361970.69391,220068.374929
3177000.86316,2638656.30706,2212257.18917,360403.807416,219365.575487
3176235.06246,2638300.93396,2210070.99564,360068.776587,218661.863149
3158057.23699,2605446.6433,2209986.56036,359764.725473,217977.309103
3158022.22847,2595853.10803,2209976.1159,358230.182852,217315.283515
3158006.47798,2577715.66811,2209953.97433,358018.225763,216628.6791
3157423.52524,2577626.39267,2204964.48213,357331.781869,215938.145384
3155807.35613,2566997.59338,2204901.16687,356506.254847,215255.231186
3155805.02873,2534196.68044,2199605.23801,355633.95742,214554.245746
3155243.48695,2534182.87983,2199590.41279,354393.225407,213867.507126
3130904.11209,2520399.65339,2194502.45998,350598.497114,213170.703654
3126992.62992,2517371.68671,2168990.25488,350283.015306,212459.080812
